title,link,artist,year,classification,related_location,medium,dimensions,credit_line,copyright_status,cleaned_year,continent,country
Whistle Figurine of a Dwarf,https://marble.nd.edu/item/1999.069.006,Unrecorded Maya artist,600-900,Figurines,"North America, Mexico","Slipped, mold-made ceramic",4 5/8 x 2 x 2 1/2 in. (11.75 x 5.08 x 6.35 cm),Gift of Peter David Joralemon,Public domain,750,North America,Mexico
Cup of Cup and Saucer [Tasse Boquet],https://marble.nd.edu/item/2000.008.a,Svres Porcelain Manufactory French active 1756 present LouisHonor Boquet French active 1811 1854,1816,Decorative Arts,,Hard-paste porcelain,3 5/8 x 4 1/2 x 3 1/2 in. (9.21 x 11.43 x 8.89 cm),Marten Family and Mr. Thomas S. Corson Funds,Public domain,1816,,
Working Celt with Semicircular Cutting Edge and Distressed Base,https://marble.nd.edu/item/2000.060.006,Unrecorded Olmec artist,1500-300 BCE,Sculpture,"North America, Mexico",Jadeite,3 1/4 x 1 1/2 x 3/4 in. (8.1 x 3.91 x 1.91 cm),Gift of Caroline Mailhot,Public domain,-900,North America,Mexico
Vessel with Preclassic Maize God,https://marble.nd.edu/item/1999.019.011,Unrecorded Olmec artist,1500-1300 BCE,Vessels,"North America, Mexico, Tlapacoya, México",Slipped and incised ceramic,3 1/8 x 3 1/8 x 3 1/8 in. (7.95 x 7.95 x 7.94 cm),J. Moore McDonough Endowment for Art of the Americas,Public domain,-1400,North America,Mexico
Study of a Group of Figures,https://marble.nd.edu/item/1999.068,Elisabetta Sirani Italian 1638 1665,ca. 1658,Drawings,"Europe, Italy",Pen and brown ink and wash over red chalk on off-white paper,8 1/8 x 8 1/4 in. (20.64 x 20.8 cm),"Gift of John D. Reilly, ND '63, '64",Public domain,1658,Europe,Italy
"Detailed Drawings for ""The Man Who Built the Pyramids"" (verso)",https://marble.nd.edu/item/2000.074.028.b,William Blake British 1757 1827,1819,Drawings,"London, Europe, United Kingdom, Greater London, England",Graphite on wover paper,7 7/8 x 6 1/8 in. (20 x 15.56 cm),"Gift of John D. Reilly, ND '63, '64",Public domain,1819,Europe,United Kingdom
Standing Male Figurine with Drooping Headdress,https://marble.nd.edu/item/2001.008.011,Unrecorded Michoacan artist,500-0 BCE,Figurines,"North America, Mexico, Michoacán de Ocampo",Slipped and painted ceramic,4 7/8 x 1 3/8 x 1 in. (12.45 x 3.56 x 2.49 cm),Humana Foundation Endowment,Public domain,-250,North America,Mexico
Ballplayer Whistle with Yoke,https://marble.nd.edu/item/2001.008.016,Unrecorded Nopiloa artist,700-1000,Figurines,"North America, Mexico, Veracruz",Ceramic,5 1/2 x 4 1/8 x 3 1/4 in. (13.97 x 10.48 x 8.26 cm),Humana Foundation Endowment,Public domain,850,North America,Mexico
Doctor Examining Male Patient,https://marble.nd.edu/item/2001.023.002,Unknown American Artist,1930s,Photographs,,Gelatin silver print,8 x 10 in. (20.3 x 25.4 cm),Walter R. Beardsley Endowment for Contemporary Art,Copyright,1935,,
Plateau Geometrics from Lasting Impressions,https://marble.nd.edu/item/2001.061.001,Joe Feddersen Native American b 1953,2001,Prints,,Five-color lithograph on BFK Rives paper,16 x 16 1/8 in. (40.64 x 40.84 cm),"Mr. and Mrs. Russell G. Ashbaugh Jr., ND '48",Public domain,2001,,
Allegory of Maternity,https://marble.nd.edu/item/2000.074.006,Pierre Alexandre Wille French 1748 1837,1789,Drawings,,"Pen, ink wash and watercolor with traces of black chalk on laid paper",13 5/8 x 9 7/8 in. (34.61 x 25.08 cm),"Gift of John D. Reilly, ND '63, '64",Public domain,1789,,
Paracelsus,https://marble.nd.edu/item/2001.002,Frederick Sommer American born in Italy 1905 1999,1957,Photographs,,Gelatin silver print,13 1/2 x 10 1/8 in. (34.4 x 25.8 cm),Milly Kaeser Fund in honor of Fritz Kaeser,Copyright,1957,,
Strap-Handled Olla,https://marble.nd.edu/item/2001.066.003,Unrecorded Sinagua artist,1200-1400,Vessels,"North America, United States, Arizona",Earthenware,6 in. (15.24 cm),Gift of Peter David Joralemon,Public domain,1300,North America,United States
Portrait of a Young Man,https://marble.nd.edu/item/2000.077.001.b,Thomas Luques Ennis American 1810 1875 Samuel Pendleton Van Loan American 1823 1900,ca. 1851,Photographs,,"Daguerreotype with applied color, quarter plate",5 x 4 x 3/4 in. (12.7 x 10.2 x 1.9 cm),"John Snider, ND ’71 and Betty Gallagher, ND ’74 Fund",Public domain,1851,,
Bowl with Ritual Ballgame Preparation Scene,https://marble.nd.edu/item/2001.008.017,Unrecorded Veracruz artist Formerly attributed to Unrecorded Remojadas artist,600-900,Vessels,"North America, Mexico, Veracruz","Slipped, mold-made ceramic",3 1/2 x 6 x 6 in. (8.89 x 15.24 x 15.24 cm),Humana Foundation Endowment,Public domain,750,North America,Mexico
Crucified Christ,https://marble.nd.edu/item/2001.045,Jos Rafael Aragn Colonial Spanish American ca 1796 1862,ca. 1835,Sculpture,"North America, United States, New Mexico",Polychromed wood,55 3/8 x 38 1/2 x 9 5/8 in. (140.65 x 97.79 x 24.45 cm),Anonymous Fund in memory of Nicholas Scherer and John Austgen family,Public domain,1835,North America,Mexico
Ghost Dance Dress from Lasting Impressions,https://marble.nd.edu/item/2001.061.006,Jaune QuicktoSee Smith SalishKootenai MtisCree Shoshone 1940 2025,2001,Prints,,Seven-color lithograph on BFK Rives paper,26 x 20 in. (66.04 x 50.8 cm),"Mr. and Mrs. Russell G. Ashbaugh Jr., ND '48",Copyright,2001,,
"The Chapel, Palace of the Nuns, Chichén-Itzá",https://marble.nd.edu/item/2000.046,Dsir Charnay French 1828 1915,1862,Photographs,"North America, Mexico, Chichén Itzá, Yucatán",Albumen print from wet collodion negative,16 3/8 x 13 1/4 in. (41.5 x 33.6 cm),Milly Kaeser Fund in honor of Fritz Kaeser,Public domain,1862,North America,Mexico
Bowl with Zigzag Interior Design,https://marble.nd.edu/item/2001.066.001,Unrecorded Pima artist,550-700,Vessels,"North America, United States, Arizona",Slipped and painted earthenware,4 3/4 x 9 in. (12.07 x 22.86 cm),Gift of Peter David Joralemon,Public domain,625,North America,United States
Untitled (Women Washing Feet),https://marble.nd.edu/item/2002.012.036,Doris Ulmann American 1882 1934,ca. 1930,Photographs,,Photogravure on cream Charta laid paper,11 1/4 x 8 in. (28.6 x 20.2 cm),Milly and Fritz Kaeser Endowment for Photography,Public domain,1930,,
Untitled (Inmates Holding Their Shovels),https://marble.nd.edu/item/2002.012.011,Doris Ulmann American 1882 1934,ca. 1930,Photographs,,Photogravure on cream Charta laid paper,11 1/4 x 8 in. (28.6 x 20.2 cm),Milly and Fritz Kaeser Endowment for Photography,Public domain,1930,,
Untitled (Man Standing on a Boat with Fishing Net),https://marble.nd.edu/item/2002.012.086,Doris Ulmann American 1882 1934,ca. 1930,Photographs,,Photogravure on cream Charta laid paper,11 1/4 x 8 in. (28.6 x 20.2 cm),Milly and Fritz Kaeser Endowment for Photography,Public domain,1930,,
Untitled (Woman Sitting and Thinking),https://marble.nd.edu/item/2002.012.019,Doris Ulmann American 1882 1934,ca. 1930,Photographs,,Photogravure on cream Charta laid paper,11 1/4 x 8 in. (28.6 x 20.2 cm),Milly and Fritz Kaeser Endowment for Photography,Public domain,1930,,
Untitled (Woman with Hat and Beaded Necklaces),https://marble.nd.edu/item/2002.012.050,Doris Ulmann American 1882 1934,ca. 1930,Photographs,,Photogravure on cream Charta laid paper,11 1/4 x 8 in. (28.6 x 20.2 cm),Milly and Fritz Kaeser Endowment for Photography,Public domain,1930,,
Untitled (A Woman Standing by Her Ox in the Field),https://marble.nd.edu/item/2002.012.041,Doris Ulmann American 1882 1934,ca. 1930,Photographs,,Photogravure on cream Charta laid paper,11 1/4 x 8 in. (28.6 x 20.2 cm),Milly and Fritz Kaeser Endowment for Photography,Public domain,1930,,
Untitled (A Woman Plowing the Fields),https://marble.nd.edu/item/2002.012.040,Doris Ulmann American 1882 1934,ca. 1930,Photographs,,Photogravure on cream Charta laid paper,11 1/4 x 8 in. (28.6 x 20.2 cm),Milly and Fritz Kaeser Endowment for Photography,Public domain,1930,,
Saint-Cloud,https://marble.nd.edu/item/2002.020,Eugene Atget French 1857 1927,1926,Photographs,"Europe, France, Saint-Cloud, Parc de, Île-de-France",Gelatin silver print on printing-out-paper,7 1/8 x 9 1/8 in. (18.1 x 23.2 cm),Milly Kaeser Fund,Public domain,1926,Europe,France
